Node,PageRank
10947,1.5153027143644583e-05
1171512,1.5153027143644583e-05
2049540,1.5153027143644583e-05
2069433,1.5153027143644583e-05
2115042,1.5153027143644583e-05
2198427,1.5153027143644583e-05
2240646,1.5153027143644583e-05
2610375,1.5153027143644583e-05
3095121,1.5153027143644583e-05
5602983,1.5153027143644583e-05
8705568,1.5153027143644583e-05
10285389,1.5153027143644583e-05
10936431,1.5153027143644583e-05
12029505,1.5153027143644583e-05
12430941,1.5153027143644583e-05
12509817,1.5153027143644583e-05
13340841,1.5153027143644583e-05
13886607,1.5153027143644583e-05
14684319,1.9374799217692906e-05
15130929,1.5153027143644583e-05
15380028,1.5153027143644583e-05
15910815,1.5153027143644583e-05
16236972,1.5153027143644583e-05
16348311,1.5153027143644583e-05
16626384,1.5153027143644583e-05
16627668,1.5153027143644583e-05
16862376,1.5153027143644583e-05
17970147,1.5153027143644583e-05
18406686,1.5153027143644583e-05
19537293,1.5153027143644583e-05
19776342,1.5153027143644583e-05
19970403,1.5153027143644583e-05
20168406,1.5153027143644583e-05
20513982,1.5153027143644583e-05
20576796,1.5153027143644583e-05
20764074,1.5153027143644583e-05
21066285,1.5153027143644583e-05
21080880,2.2092391566061938e-05
21261807,2.2451482555064862e-05
22150680,1.5153027143644583e-05
22665108,1.5153027143644583e-05
23048490,1.5153027143644583e-05
23566857,1.5153027143644583e-05
24041691,1.5153027143644583e-05
25128183,1.5153027143644583e-05
25336764,1.5153027143644583e-05
25664766,1.5153027143644583e-05
26803155,1.5153027143644583e-05
27200898,1.5153027143644583e-05
27577428,1.5153027143644583e-05
27638547,2.603497763980191e-05
27846438,1.5153027143644583e-05
28806048,1.5153027143644583e-05
29354781,1.5153027143644583e-05
30157203,1.5153027143644583e-05
31306305,1.5153027143644583e-05
31743726,2.071760489419167e-05
32811567,1.5153027143644583e-05
33140073,1.5153027143644583e-05
33290388,1.5153027143644583e-05
33853905,1.5153027143644583e-05
34331334,1.5153027143644583e-05
34553562,7.27684385312526e-05
35921253,1.5153027143644583e-05
36778032,1.5153027143644583e-05
37158891,1.5153027143644583e-05
